name,team,round,season,was_home,play_time_category,form_total_points,form_bonus,form_value,form_creativity,form_influence,form_threat,form_selected,form_transfers_balance
aaron connolly,BHA,2,2020-2021,False,1,0.4545454545454546,0.6666666666666666,0.16101694915254233,0.08296622613803231,0.21297429620563033,0.13609467455621302,0.003655574923945675,0.5756174614625109
aaron connolly,BHA,4,2020-2021,False,1,0.2727272727272727,0.0,0.16101694915254233,0.0022026431718061676,0.01835985312117503,0.023668639053254437,0.005752599705466895,0.5755853905404463
aaron connolly,BHA,23,2020-2021,False,1,0.2696969696969697,0.0,0.13644067796610165,0.013436123348017623,0.04895960832313341,0.11124260355029586,0.0026790991694967893,0.575800821614262
aaron connolly,BHA,26,2020-2021,False,1,0.26666666666666666,0.0,0.13559322033898302,0.007929515418502203,0.024479804161566705,0.0863905325443787,0.0025477050962241657,0.5758573733401694
aaron cresswell,WHU,2,2020-2021,False,1,0.24242424242424243,0.0,0.11864406779661013,0.25697503671071953,0.16523867809057527,0.0,0.006556763575404816,0.5731584769647394
aaron cresswell,WHU,4,2020-2021,False,1,0.6666666666666667,1.0,0.11016949152542371,0.38546255506607935,0.3231334149326805,0.0,0.006397308294680037,0.575882153472618
aaron cresswell,WHU,5,2020-2021,False,1,0.46666666666666673,0.5,0.11271186440677965,0.3294419970631425,0.23439412484700123,0.0,0.006427769679787081,0.5748637520327619
aaron cresswell,WHU,7,2020-2021,False,1,0.3939393939393939,0.3333333333333333,0.11355932203389828,0.23399412628487523,0.1694002447980416,0.0017751479289940828,0.02697479312555726,0.5975944456583882
aaron cresswell,WHU,9,2020-2021,False,1,0.3212121212121212,0.03333333333333333,0.12118644067796608,0.23781204111600593,0.13561811505507956,0.019526627218934913,0.051427479571357494,0.5977105210156475
aaron cresswell,WHU,12,2020-2021,False,1,0.30303030303030304,0.06666666666666667,0.1330508474576271,0.1775330396475771,0.1011015911872705,0.021301775147928994,0.08032843613607296,0.5912052979452801
aaron cresswell,WHU,14,2020-2021,False,1,0.29393939393939394,0.0,0.13559322033898302,0.1325991189427313,0.09534883720930233,0.010650887573964497,0.08853552012475915,0.5835926873166344
aaron cresswell,WHU,16,2020-2021,False,1,0.296969696969697,0.0,0.13898305084745763,0.14397944199706314,0.07441860465116279,0.03431952662721893,0.09478812901351447,0.5829448974521576
aaron cresswell,WHU,17,2020-2021,False,1,0.33333333333333337,0.0,0.14152542372881355,0.11292217327459621,0.05911872705018359,0.028994082840236683,0.09805872587717102,0.5819971375633026
aaron cresswell,WHU,20,2020-2021,False,1,0.393939393939394,0.3333333333333333,0.15,0.1512481644640235,0.100734394124847,0.015384615384615385,0.13558501304026954,0.620168996654789
aaron cresswell,WHU,22,2020-2021,False,1,0.34242424242424246,0.16666666666666666,0.1559322033898305,0.11674008810572689,0.1121175030599755,0.011834319526627219,0.15849456265841172,0.6089207835396633
aaron cresswell,WHU,23,2020-2021,False,1,0.296969696969697,0.06666666666666667,0.16186440677966102,0.13861967694566815,0.09804161566707467,0.039053254437869826,0.1687599242128252,0.6047447860163937
aaron cresswell,WHU,26,2020-2021,False,1,0.403030303030303,0.5,0.18305084745762712,0.19199706314243759,0.13965728274173805,0.010650887573964497,0.21201560240702338,0.599863185446472
aaron cresswell,WHU,28,2020-2021,False,1,0.41515151515151516,0.5,0.1864406779661017,0.21380323054331868,0.1511627906976744,0.019526627218934913,0.21202493179321238,0.5746025023016231
aaron cresswell,WHU,30,2020-2021,False,1,0.30606060606060603,0.2,0.18983050847457628,0.1143171806167401,0.10526315789473685,0.009467455621301775,0.2326455676441025,0.5972743778561829
aaron cresswell,WHU,34,2020-2021,False,1,0.2272727272727273,0.0,0.19406779661016949,0.05602055800293686,0.039290085679314565,0.0,0.24346008984595452,0.5842527282733401
aaron cresswell,WHU,36,2020-2021,False,1,0.24545454545454548,0.0,0.1771186440677966,0.20961820851688695,0.05960832313341492,0.023076923076923078,0.17902541099389896,0.553517731157585
aaron cresswell,WHU,37,2020-2021,False,1,0.2696969696969697,0.13333333333333333,0.17203389830508475,0.3134361233480176,0.07380660954712362,0.02485207100591716,0.15683776176546216,0.5559001944353101
aaron cresswell,WHU,1,2021-2022,False,1,0.35151515151515156,0.06666666666666667,0.17288135593220338,0.26585903083700446,0.12827417380660955,0.010059171597633136,0.15009122762199584,0.5818739638419596
aaron cresswell,WHU,4,2021-2022,False,1,0.35151515151515156,0.13333333333333333,0.16271186440677962,0.10440528634361235,0.14700122399020807,0.03668639053254438,0.1416885291544362,0.5812974141856957
aaron cresswell,WHU,6,2021-2022,False,1,0.33333333333333337,0.26666666666666666,0.16101694915254233,0.1627019089574156,0.08604651162790697,0.021893491124260353,0.13763047574443077,0.5654224360473743
aaron cresswell,WHU,8,2021-2022,False,1,0.27272727272727276,0.06666666666666667,0.16101694915254233,0.30183553597650514,0.11236230110159118,0.02485207100591716,0.13456665940352036,0.5715859968946795
aaron cresswell,WHU,10,2021-2022,False,1,0.43333333333333335,0.5,0.16101694915254233,0.16916299559471368,0.13341493268053856,0.006508875739644971,0.1281165158937677,0.5687380134928782
aaron cresswell,WHU,12,2021-2022,False,1,0.33636363636363636,0.23333333333333334,0.16101694915254233,0.09537444933920707,0.10550795593635251,0.014201183431952662,0.13238665108847014,0.5778721328061158
aaron cresswell,WHU,13,2021-2022,False,1,0.29393939393939394,0.1,0.16101694915254233,0.17599118942731282,0.13623011015911873,0.009467455621301775,0.1348720037434423,0.5790439829177441
