name,team,round,season,was_home,play_time_category,form_total_points,form_bonus,form_value,form_creativity,form_influence,form_threat,form_selected,form_transfers_balance
aaron connolly,BHA,3,2020-2021,True,1,0.2727272727272727,0.0,0.16101694915254233,0.08883994126284876,0.0,0.047337278106508875,0.005776705837565994,0.5787576323449359
aaron connolly,BHA,10,2020-2021,True,1,0.2787878787878788,0.0,0.15762711864406775,0.032011747430249635,0.03574051407588739,0.01301775147928994,0.00485420277368704,0.575167998180082
aaron connolly,BHA,11,2020-2021,True,1,0.27575757575757576,0.0,0.15169491525423728,0.05058737151248165,0.02325581395348837,0.07337278106508875,0.004123473904433692,0.5749861988132048
aaron connolly,BHA,14,2020-2021,True,1,0.25757575757575757,0.0,0.14491525423728813,0.020044052863436124,0.007588739290085678,0.09644970414201183,0.003623256010044848,0.5758165577466885
aaron connolly,BHA,17,2021-2022,True,1,0.24242424242424243,0.0,0.14661016949152542,0.04074889867841411,0.006487148102815178,0.03668639053254438,0.0012451495540261204,0.57578955403031
aaron cresswell,WHU,1,2020-2021,True,1,0.24242424242424243,0.0,0.11864406779661013,0.08223201174743025,0.06364749082007344,0.0,0.007329099002527909,0.5758656903992915
aaron cresswell,WHU,3,2020-2021,True,1,0.42424242424242425,0.3333333333333333,0.11016949152542371,0.38546255506607935,0.219094247246022,0.0,0.006081945821937707,0.5743087540361255
aaron cresswell,WHU,6,2020-2021,True,1,0.4545454545454546,0.5,0.11101694915254236,0.3182819383259912,0.23708690330477353,0.002366863905325444,0.014436275491973807,0.5879736394125119
aaron cresswell,WHU,8,2020-2021,True,1,0.3181818181818182,0.16666666666666669,0.11610169491525421,0.12254038179148313,0.1467564259485924,0.001183431952662722,0.03947187117015131,0.598282965593887
aaron cresswell,WHU,10,2020-2021,True,1,0.36363636363636365,0.13333333333333333,0.12457627118644067,0.2143171806167401,0.1277845777233782,0.014201183431952662,0.0624331289634238,0.5956832325094812
aaron cresswell,WHU,11,2020-2021,True,1,0.33939393939393936,0.09999999999999999,0.12966101694915252,0.15315712187958885,0.11627906976744184,0.009467455621301775,0.07285774752301666,0.5960851666854102
aaron cresswell,WHU,13,2020-2021,True,1,0.3151515151515152,0.03333333333333333,0.1347457627118644,0.17525697503671075,0.13745410036719707,0.012426035502958578,0.08446119768447556,0.5840491206794588
aaron cresswell,WHU,15,2020-2021,True,1,0.27575757575757576,0.0,0.13559322033898302,0.14089574155653456,0.07980416156670747,0.02485207100591716,0.09088763161321993,0.5801078395444732
aaron cresswell,WHU,19,2020-2021,True,1,0.42727272727272736,0.26666666666666666,0.14322033898305087,0.09008810572687226,0.05348837209302326,0.046153846153846156,0.10112581898235806,0.5815696535527953
aaron cresswell,WHU,19,2020-2021,True,1,0.45757575757575764,0.4666666666666667,0.14745762711864407,0.056387665198237895,0.06548347613219094,0.028402366863905328,0.12117896935119232,0.6038711527187375
aaron cresswell,WHU,21,2020-2021,True,1,0.3727272727272728,0.33333333333333337,0.15169491525423728,0.1699706314243759,0.11738066095471235,0.016568047337278107,0.14853386713284378,0.6194002566528989
aaron cresswell,WHU,24,2020-2021,True,1,0.36969696969696975,0.43333333333333335,0.16949152542372878,0.17569750367107195,0.09326805385556915,0.03017751479289941,0.1836524943481034,0.6061510531876999
aaron cresswell,WHU,25,2020-2021,True,1,0.45757575757575764,0.7,0.17796610169491522,0.20256975036710723,0.12717258261933903,0.020710059171597635,0.19932329599909168,0.6059152891492953
aaron cresswell,WHU,27,2020-2021,True,1,0.34242424242424246,0.30000000000000004,0.18559322033898307,0.1861967694566814,0.12068543451652386,0.001775147928994083,0.21141882432202286,0.574692899540616
aaron cresswell,WHU,29,2020-2021,True,1,0.35757575757575755,0.3,0.1864406779661017,0.1381057268722467,0.13268053855569154,0.014201183431952662,0.21531537708251935,0.5802883988356973
aaron cresswell,WHU,31,2020-2021,True,1,0.2727272727272727,0.1,0.1923728813559322,0.09992657856093981,0.07649938800489596,0.004733727810650888,0.2404082326510985,0.5930220087771699
aaron cresswell,WHU,35,2020-2021,True,1,0.24242424242424243,0.0,0.18474576271186438,0.23274596182085172,0.06731946144430845,0.03076923076923077,0.21012777919701325,0.5612159497675285
aaron cresswell,WHU,38,2020-2021,True,1,0.31212121212121213,0.09999999999999999,0.1694915254237288,0.32591776798825256,0.11738066095471236,0.021893491124260353,0.14675798612154667,0.5673971923831987
aaron cresswell,WHU,2,2021-2022,True,1,0.3909090909090909,0.03333333333333333,0.16864406779661015,0.21226138032305436,0.22093023255813954,0.04852071005917161,0.14137286405059826,0.5822804307082071
aaron cresswell,WHU,3,2021-2022,True,1,0.3515151515151515,0.0,0.16525423728813554,0.11864904552129224,0.16793145654834762,0.04792899408284024,0.14024858953038333,0.5824860266992564
aaron cresswell,WHU,5,2021-2022,True,1,0.38787878787878793,0.36666666666666664,0.16101694915254233,0.12914831130690163,0.1062423500611995,0.042603550295857995,0.1399588046029981,0.5703078851279437
aaron cresswell,WHU,7,2021-2022,True,1,0.3090909090909091,0.16666666666666666,0.16101694915254233,0.18318649045521296,0.0949816401468788,0.03786982248520711,0.13522405762763937,0.5673381177447556
aaron cresswell,WHU,9,2021-2022,True,1,0.3212121212121212,0.13333333333333333,0.16101694915254233,0.2125550660792952,0.11150550795593635,0.013017751479289942,0.13121402864184173,0.5678561486585588
aaron cresswell,WHU,11,2021-2022,True,1,0.39090909090909093,0.36666666666666664,0.16101694915254233,0.17136563876651983,0.1189718482252142,0.01893491124260355,0.13075782791853252,0.5789125776597377
