team_name,overall_rating,attack_rating,midfield_rating,defence_rating,avg_age
Liverpool,85,86,84,85,27.73
Manchester City,85,84,87,86,26.09
Chelsea,84,84,85,83,27.36
Manchester United,83,82,83,81,26.18
Tottenham Hotspur,81,83,81,78,25.45
Arsenal,80,77,80,77,22.82
Leicester City,80,80,80,78,24.09
West Ham United,79,80,79,77,27.82
Aston Villa,78,79,78,79,25.45
Everton,78,78,78,77,25.73
Wolverhampton Wanderers,78,78,80,78,27.73
Newcastle United,77,78,77,77,27.00
Burnley,76,77,75,76,26.36
Crystal Palace,76,77,76,75,26.45
Leeds United,76,77,77,75,26.00
Brighton & Hove Albion,76,75,73,77,24.82
Southampton,76,75,76,76,25.45
Watford,74,74,75,74,28.45
Brentford,74,74,75,74,25.27
Norwich City,73,75,73,73,25.55
