team_name,overall_rating,attack_rating,midfield_rating,defence_rating,avg_age
Liverpool,85,87,83,85,25.73
Manchester City,85,87,86,83,27.45
Tottenham Hotspur,82,85,82,82,25.45
Chelsea,81,80,84,81,26.64
Manchester United,81,83,81,81,23.91
Arsenal,80,84,82,78,26.09
Leicester City,79,80,79,79,25.18
Everton,78,80,78,79,24.82
West Ham United,78,82,78,73,25.91
Wolverhampton Wanderers,78,79,79,78,26.64
Watford,77,76,78,75,27.64
Crystal Palace,77,73,77,76,29.18
Newcastle United,77,75,78,77,26.00
Aston Villa,76,77,75,75,25.09
Burnley,76,77,76,76,27.45
Brighton & Hove Albion,76,75,76,76,26.55
Southampton,76,76,76,76,25.91
AFC Bournemouth,76,78,76,76,24.55
Sheffield United,75,73,77,75,26.27
Norwich City,74,75,74,72,25.36
