team,opponent,date,season,round,venue,noscale_gf,noscale_ga,gf,ga,xg,xga,standard sot,kp,xa,poss_x,touches att pen,carries prgdist,progressive passing dist,tackles tklw,challenges tkl%,saves,form_gf,form_ga,form_xg,form_xga,form_standard sot,form_kp,form_xa,form_poss_x,form_touches att pen,form_carries prgdist,form_progressive passing dist,form_tackles tklw,form_challenges tkl%,form_saves
ARS,FUL,2020-09-12,2020-2021,1,Away,3.0,0.0,1.1861788433554936,-1.1165290370949554,0.5975971929758046,-1.570886399255961,0.28801141505409456,-0.3474343352284903,0.19790883799699124,0.31294134106716154,0.2271420635135993,1.053251055508462,0.4521403525171151,-1.278476299089128,0.2373207619928944,-0.5003565088218203,,,,,,,,,,,,,,
ARS,WHU,2020-09-19,2020-2021,2,Home,2.0,1.0,0.4186095498720106,-0.3489597436114725,-0.36617329246053537,0.718068503655347,-0.5185201188916846,-0.7823984952517936,1.3124360137390279,0.9389206249428235,0.40655217706407754,1.5743985364235347,0.5076838847434845,-1.278476299089128,0.5364723385161644,-1.0028844346069095,,,,,,,,,,,,,,
ARS,LIV,2020-09-28,2020-2021,3,Away,1.0,3.0,-0.3489597436114725,1.1861788433554936,-0.12523067110145036,1.5613676784121449,-0.5185201188916846,-1.4348447352867486,-0.5451092791643665,-1.2520068686219934,-1.2081388448902264,-0.7110503121727734,-1.6288906548975235,-1.0053120146622765,-0.8728639775490187,1.0072272685334471,1.1861788433554936,-1.1165290370949554,0.5975971929758046,-1.570886399255961,0.28801141505409456,-0.3474343352284903,0.19790883799699124,0.31294134106716154,0.2271420635135993,1.053251055508462,0.4521403525171151,-1.278476299089128,0.2373207619928944,-0.5003565088218203
ARS,SHU,2020-10-04,2020-2021,4,Home,2.0,1.0,0.4186095498720106,-0.3489597436114725,-0.9685298458582481,-1.4504150885764184,0.28801141505409456,-0.7823984952517936,-0.5451092791643665,1.095415445911739,-0.8493186177892699,1.8159721083060423,1.0168329301518702,-1.5516405835159794,-1.0922418003327496,-1.0028844346069095,0.4186095498720106,-0.3489597436114725,-0.36617329246053537,0.718068503655347,-0.5185201188916846,-0.7823984952517936,1.3124360137390279,0.9389206249428235,0.40655217706407754,1.5743985364235347,0.5076838847434845,-1.278476299089128,0.5364723385161644,-1.0028844346069095
ARS,MCI,2020-10-17,2020-2021,5,Away,0.0,1.0,-1.1165290370949554,-0.3489597436114725,-0.6071159138196205,-0.12523067110145064,-0.5185201188916846,-0.564916415240142,-0.5451092791643665,-0.6260275847463314,-0.939023674564509,0.01638471327118215,-1.0160603493332483,0.08734512304512916,-0.13495675545828603,0.5046993427483579,0.4186095498720106,0.03482490313026909,0.23618326093717712,-0.004759360421908054,-0.11525435191879502,-0.8911395352576195,-0.17360022058368763,-0.46953276377741593,-0.4904983906883135,0.1711003716678443,-0.5883751511902042,-1.1418941568757024,-0.3177716077780621,0.25343537985581344
ARS,LEI,2020-10-25,2020-2021,6,Home,0.0,1.0,-1.1165290370949554,-0.3489597436114725,-0.8480585351787057,-0.8480585351787059,-0.115254351918795,0.08752982479481301,-0.3593547498740271,0.469436162036077,-0.2213832203625962,1.8458295160668017,-0.5420888743348965,0.36050940747198057,-0.015296124848977789,-1.0028844346069095,0.4186095498720106,-0.3489597436114725,-0.6673515691593918,-0.3661732924605357,-0.11525435191879502,-0.7823984952517936,0.3836633672873307,1.0171680354272812,-0.22138322036259617,1.6951853223647886,0.7622584074476773,-1.4150584413025538,-0.27788473090829263,-1.0028844346069095
ARS,MUN,2020-11-01,2020-2021,7,Away,1.0,0.0,-0.3489597436114725,-1.1165290370949554,-0.486644603140078,-1.2094724672173334,-1.3250516528374636,-0.9998805752634453,-0.9166183377450452,-0.31303794280850045,-0.8493186177892699,0.3339589594538045,-0.7920347693535585,1.4531665451793863,1.0018192353301398,-0.5003565088218203,-0.0931033124503114,-0.09310331245031143,-0.04491646398175542,-0.04491646398175558,-0.24967627424309155,-0.7823984952517936,-0.2974365734439139,-0.5216977041003877,-0.6400068186470453,0.11952848553562358,-0.7309368839045524,-0.7321477302354252,-0.2568333236714701,0.33719003415332827
ARS,AVL,2020-11-08,2020-2021,8,Home,0.0,3.0,-1.1165290370949554,1.1861788433554936,0.11571195025763463,0.477125882296262,-0.9217858858645741,-0.3474343352284903,-0.5451092791643665,0.7041783934894502,0.1374370067383602,1.3843968506732478,-0.7883318672051339,-2.097969152369682,-1.7570230814955718,0.0021714169632688464,-0.0931033124503114,-0.3489597436114725,-0.727587224499163,-0.5268017066999258,-0.11525435191879502,-0.49242238856959136,0.13599066156687808,0.8345907442968797,-0.22138322036259617,1.745400053598793,0.32747598018681934,-0.8232024917110423,-0.19035519555518768,-1.0028844346069095
ARS,LEE,2020-11-22,2020-2021,9,Away,0.0,0.0,-1.1165290370949554,-1.1165290370949554,-0.6071159138196205,0.477125882296262,-0.9217858858645741,-0.7823984952517936,-0.7308638084547059,-1.2520068686219934,-0.939023674564509,-0.0514730316396346,-1.382647662027286,-1.278476299089128,-0.8728639775490187,0.5046993427483579,-0.15706742024060166,-0.3489597436114724,-0.15534849877133605,-0.33605546479065,-0.5185201188916846,-0.8367690152547066,-0.4522320145191967,-0.46953276377741593,-0.6923347684326014,0.17313610401516882,-0.7462113552668038,-0.18581916138172228,0.057829816078932395,0.12780339840954114
ARS,WOL,2020-11-29,2020-2021,10,Home,1.0,2.0,-0.3489597436114725,0.4186095498720106,0.11571195025763463,0.477125882296262,-0.9217858858645741,-0.7823984952517936,1.3124360137390279,0.469436162036077,1.0344875744907511,0.7601055974937336,0.23181767468584996,-1.0053120146622765,-1.550940884335097,0.0021714169632688464,-0.3489597436114724,0.034824903130269036,-0.5167624308099636,-0.2758198094508788,-0.3168872354052398,-0.4561753752343161,-0.034284323615933046,0.8019876565950224,-0.13167816358735707,1.6551492528674066,0.04852401833883102,-1.1418941568757024,-0.5820221670402838,-0.7516204717143649
