hometeam,awayteam,date,season,round,gf,ga,h_form_gf,h_form_ga,h_form_xg,h_form_xga,h_form_standard sot,h_form_kp,h_form_xa,h_form_poss_x,h_form_touches att pen,h_form_carries prgdist,h_form_progressive passing dist,h_form_tackles tklw,h_form_challenges tkl%,h_form_saves,a_form_gf,a_form_ga,a_form_xg,a_form_xga,a_form_standard sot,a_form_kp,a_form_xa,a_form_poss_x,a_form_touches att pen,a_form_carries prgdist,a_form_progressive passing dist,a_form_tackles tklw,a_form_challenges tkl%,a_form_saves,b365h,b365d,b365a,result_A,result_D,result_H,h_strength_overall_home,h_overall_rating,h_attack_rating,h_midfield_rating,h_defence_rating,h_avg_age,a_strength_overall_away,a_overall_rating,a_attack_rating,a_midfield_rating,a_defence_rating,a_avg_age,soh,soa
CRY,SOU,2020-09-12,2020-2021,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.25,2.37,False,False,True,-0.5522156718919962,-0.7117057414807711,-0.3997094582208949,-0.8971166877028701,-0.7783121212796721,2.010296058341654,-0.7377028282470214,-0.711705741480771,-0.39970945822089493,-0.35452604589639314,-0.4802351386619257,0.12787094791799208,-0.3133693100461991,-0.245058752913329
FUL,ARS,2020-09-12,2020-2021,1,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.33,1.53,True,False,False,-0.5522156718919962,-1.0099373248224297,-1.1758133203677417,-0.8971166877028701,-1.0763891038974185,-1.1270791256977781,0.8119992444914814,0.4812205918858628,1.152498266072799,0.18806459591008373,0.4139958091913135,-0.9128193570316725,-0.3133693100461991,0.6667842789125852
LIV,LEE,2020-09-12,2020-2021,1,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,6.0,9.5,False,False,True,1.228061718088173,1.9723785085941554,1.9286021282196455,1.2732458795230375,0.7120727918090599,-0.009867474795931227,-0.014508527635720057,-0.711705741480771,-0.1410081708386126,-0.6258213667996316,-0.7783121212796721,-0.6373425116038204,0.6359196617912389,0.1804679952720976
WHU,NEW,2020-09-12,2020-2021,1,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,3.4,3.4,True,False,False,1.0055270443406519,-0.11524257479745417,0.11769311654366968,0.18806459591008373,-0.1821581560441793,1.3828210215337677,-1.047643242794722,-0.711705741480771,-0.39970945822089493,-0.8971166877028701,-1.0763891038974185,0.7553459847258785,0.5172585403115592,-0.42742735927851183
TOT,EVE,2020-09-13,2020-2021,1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,3.6,4.33,True,False,False,0.5604576968456095,1.0776837585691799,2.7047059903664925,1.001950558619799,1.0101497744268064,0.6864767733689182,-0.4277624136993208,0.18298900854420433,0.6350956913082343,0.18806459591008373,0.7120727918090599,0.6864767733689155,0.27993629735219966,-0.06269014654814617
WBA,LEI,2020-09-13,2020-2021,1,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.6,1.95,True,False,False,-0.9972850193870384,-1.6064004915057468,-1.1758133203677417,-1.1684120086061085,-1.6725430691329113,-0.21647510886682028,0.9153127160073816,0.4812205918858628,0.37639440392595197,0.7306552377165606,0.4139958091913135,-0.14760589750985997,-0.5506915530055586,0.7275738143676461
BHA,CHE,2020-09-14,2020-2021,1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.33,1.61,True,False,False,-0.10714632439695387,-1.0099373248224297,-0.9171120329854594,-0.6258213667996316,-0.4802351386619257,-0.21647510886682028,1.121939659039182,1.0776837585691796,0.8937969786905166,1.544541200426276,1.3082267570445527,0.05900173656102907,-0.07604706708683961,0.849152885277768
SHU,WOL,2020-09-14,2020-2021,1,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.1,2.37,True,False,False,-1.5536217037558413,-1.6064004915057468,-1.9519171825145885,-1.1684120086061085,-1.374466086515165,0.5487383506549922,-0.6343893567311212,0.18298900854420433,-0.39970945822089493,0.7306552377165606,0.1159188265735671,-0.3618656661759683,-0.847344356704758,-0.18426921745826805
ARS,WHU,2020-09-19,2020-2021,2,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,4.5,5.5,False,False,True,0.6717250337193701,0.48122059188586286,1.1524982660727987,0.18806459591008373,0.4139958091913135,-0.9128193570316697,0.9153127160073816,-0.11524257479745416,0.11769311654366969,0.18806459591008373,-0.1821581560441793,1.382821021533765,-0.1655472179628883,0.29685563985435703
EVE,WBA,2020-09-19,2020-2021,2,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.2,6.5,False,False,True,1.228061718088173,0.18298900854420433,0.6350956913082342,0.18806459591008373,0.7120727918090599,0.6864767733689182,-1.3575836573424225,-1.6064004915057466,-1.1758133203677419,-1.1684120086061085,-1.6725430691329113,-0.216475108866823,0.45362651391808145,-0.6544094057141635
