hometeam,awayteam,date,season,round,gf,ga,h_form_gf,h_form_ga,h_form_xg,h_form_xga,h_form_standard sot,h_form_kp,h_form_xa,h_form_poss_x,h_form_touches att pen,h_form_carries prgdist,h_form_progressive passing dist,h_form_tackles tklw,h_form_challenges tkl%,h_form_saves,a_form_gf,a_form_ga,a_form_xg,a_form_xga,a_form_standard sot,a_form_kp,a_form_xa,a_form_poss_x,a_form_touches att pen,a_form_carries prgdist,a_form_progressive passing dist,a_form_tackles tklw,a_form_challenges tkl%,a_form_saves,b365h,b365d,b365a,result_A,result_D,result_H
ARS,MUN,2021-01-30,2020-2021,21,0.0,0.0,-0.04193202621807921,-0.6559874610048657,-0.004759360421907966,-0.19751345750917618,0.3686645684486724,0.1745226567994737,0.012154308706651795,0.3755392694547277,0.263024086223695,0.4191882870617903,0.40326204415791,-0.9506791577769065,-0.09108119090153974,-0.701367679135856,0.11158183247861739,-0.3489597436114724,0.13980621239354313,-0.3902675545964443,0.5299708752378283,-0.173448671219169,0.04930521456471969,0.23469393058270374,-0.27520625442773966,0.7063622635243668,0.06407620736221453,0.14197797993049943,-0.9473194810392546,-0.2993453385077846,2.8,3.5,2.45,False,True,False
ARS,LEE,2021-02-14,2020-2021,24,4.0,2.0,-0.04193202621807921,-0.8095013197015621,-0.1734191953732675,-0.14932493323735913,0.12670510826493872,-0.0864558392145083,-0.4708074674482307,0.03125066332311366,-0.07785512952221356,0.30790158540805085,0.036674731463872234,-0.8414134440061657,-0.11501331702340138,-0.600862093978838,0.7256372672654038,0.5721234085687071,-0.028853622557816382,0.6939742415194387,0.12670510826493872,0.26151548880413444,0.04930521456471969,0.8450237323614742,-0.006091084102022304,0.7633627692494529,0.6532079391765722,0.03271226615975884,-0.6614635301392411,0.9067216833764291,1.83,3.8,4.0,False,False,True
ARS,MCI,2021-02-21,2020-2021,25,0.0,1.0,0.4186095498720106,-0.6559874610048657,0.23618326093717706,-0.2216077196450846,0.1267051082649387,0.04403340879248269,-0.09929840886755185,0.18774548429202914,0.24508307486864717,0.45718862421184764,-0.003316611739113684,-1.0599448715476467,-0.4606995832280688,-0.5003565088218203,1.4932065607488867,-0.6559874610048657,0.9590111250144322,-0.8239642730427974,0.7719303354215621,0.3050119048064647,0.3836633672873307,0.9702195891366067,0.5500802679044601,2.1243177011807934,0.8439073998204403,-0.34971773203783313,-0.1296385052089834,-1.0028844346069092,6.5,4.33,1.5,True,False,False
ARS,TOT,2021-03-14,2020-2021,28,2.0,1.0,-0.04193202621807921,-0.6559874610048657,-0.17341919537326753,-0.41436181673235273,-0.2765606587079509,-0.04295942321217798,-0.13644931472561972,0.2659928947764869,0.15537801809340812,0.6982193341350688,0.15109440785019315,-1.2784762990891279,-0.9885359204713495,-0.39985092366480246,-0.3489597436114725,-0.04193202621807925,-0.631210175955529,-0.1252306711014506,-0.27656065870795077,-0.30393791922616,-0.5822601850224343,0.18774548429202914,-0.4904983906883135,0.3833593977488791,0.1547973099986178,-0.4589834458085737,-0.39023276742480956,-0.09833416819374899,2.55,3.4,2.75,False,False,True
ARS,LIV,2021-04-03,2020-2021,30,0.0,3.0,0.265095691175314,-0.5024736023081691,0.13980621239354307,-0.5107388652759868,-0.43786696549710663,0.13102624079714337,-0.06214750300948393,0.031250663323113645,0.11949599538331246,0.37738791619672724,-0.08070726664118832,-1.1145777284330172,-0.9592855441001854,-0.39985092366480246,0.4186095498720106,-0.3489597436114725,0.6698799793835303,-0.5830216516837122,0.5299708752378283,0.478997568815786,0.7923233317260775,0.5633330546174263,0.28096509757874266,1.051079607671316,0.6050702112470521,-0.29508487515246284,-0.12033156727270386,-0.29934533850778466,3.1,3.7,2.15,True,False,False
ARS,FUL,2021-04-18,2020-2021,32,1.0,1.0,-0.19544588491477582,-0.04193202621807925,-0.41436181673235256,0.019334901714000364,-0.7604795790754183,-0.43442716723315095,-0.5079583733062984,-0.4382337995836328,-0.38285232255802654,-0.09870202209756304,-0.6583600017954296,-1.1145777284330172,-0.9486490436015803,-0.09833416819374899,-0.34895974361147236,-0.5024736023081691,-0.0770421468296334,-0.7998700109068888,-0.11525435191879504,-0.0864558392145083,-0.062147503009483886,-0.046996747161344124,-0.5263804133984091,-0.13670235924762048,0.14702121548692604,-0.4043505889232034,-0.6322131537680769,-0.701367679135856,1.7,3.8,4.8,False,True,False
ARS,EVE,2021-04-23,2020-2021,33,0.0,1.0,-0.04193202621807922,0.11158183247861735,0.019334901714000586,-0.1493249332373592,-0.5991732722862625,-0.34743433522849027,0.08645612042278757,-0.03134726506445249,-0.0778551295222136,0.25415825143868404,-0.5446809058387937,-1.0599448715476467,-1.0310819224657701,-0.3998509236648024,-0.1954458849147758,-0.3489597436114725,-0.534833127411895,0.18799473666535987,-0.6798264256808404,-1.0433769912657755,-0.9537692436031131,-0.7981718878121385,-0.9210826632094612,-0.7012787969056158,-0.19068346044939963,-0.24045201826709253,-0.8276588504299465,0.7057105130623936,2.0,3.5,3.75,True,False,False
ARS,WBA,2021-05-09,2020-2021,35,3.0,1.0,-0.6559874610048657,-0.041932026218079274,-0.34207903032462694,-0.2457019817809932,-0.6798264256808404,-0.3039379192261599,-0.13644931472561977,0.1720960021951376,-0.1675601862974527,0.341559026883816,-0.1603196628323178,-0.9506791577769063,-1.0643209865239112,-0.600862093978838,-0.04193202621807925,0.11158183247861739,-0.2457019817809929,0.5012201444321706,-0.5991732722862624,-0.6084128312424724,-0.32220384401595914,-1.0016151550717287,-0.7954955837241264,-1.1160253338005277,-1.2571192791956913,-0.021920590725611346,-0.17883232001503221,0.7057105130623936,1.44,4.5,7.0,False,False,True
ARS,BHA,2021-05-23,2020-2021,38,2.0,0.0,-0.19544588491477577,-0.041932026218079274,-0.19751345750917593,-0.2457019817809932,-0.1959075053133729,-0.08645583921450828,0.012154308706651762,0.4850856441329686,-0.0957961408772614,0.6575046871885788,-0.07107972105528437,-0.6775148733500549,-0.5205298985327229,-0.8018732642928738,-0.5024736023081691,-0.19544588491477582,-0.5348331274118949,-0.5830216516837122,-0.2765606587079509,-0.5649164152401419,-0.5451092791643664,-0.359986389099175,-0.5622624361085048,-0.22736030644847158,-0.2747393392186386,-0.2950848751524628,-0.24398088556898873,0.30368817243432233,1.57,4.33,5.25,False,False,True
ARS,CHE,2021-08-22,2021-2022,2,0.0,2.0,-0.19544588491477582,-0.19544588491477585,-0.4143618167323525,-0.2938905060528102,0.046051954870360845,0.08752982479481305,0.08645612042278755,0.5163846083267517,0.1912600408035037,0.6955050243386361,0.0866639104676046,-0.8414134440061657,-0.4606995832280688,-0.9023788494498917,0.11158183247861735,-0.5024736023081691,0.8626340764707982,-0.7034929623632548,1.0945429489998737,1.3054294728600624,0.7551724258680095,0.8450237323614742,0.6756673473897947,0.7991916585623642,0.990912615112898,0.469775121242721,0.12962619444451717,-0.600862093978838,4.75,3.75,1.72,True,False,False
ARS,NOR,2021-09-11,2021-2022,4,1.0,0.0,-0.19544588491477582,-0.3489597436114725,-0.3661732924605354,-0.12523067110145067,0.12670510826493872,0.2615154888041344,0.2350597438550591,0.5007351262298603,0.37067015435398193,0.8160203793002466,0.0774066550965431,-0.18581916138172225,-0.13229763033363476,-1.0028844346069095,-1.1165290370949554,2.7213174303224594,-1.5708863992559607,1.4408963677326023,-1.7283174198103533,-2.0872909753217037,-1.4738819256160636,-1.330254279106451,-1.746369185541661,-0.9173378567016562,-1.382647662027286,0.36050940747198057,-0.42746051916992767,-1.5054123603919984,1.5,4.6,6.0,False,False,True
