Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss_x,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Standard Gls,Standard Sh,Standard SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,SoTA,Saves,CS,PSxG,launched cmp,lauched att,passes att (gk),Thr,pass avglen,goal kick att,goal kick avglen,crosses faced,crosses stp,#OPA,sweeper avgdist,passes cmp,passes att,total passing dist,progressive passing dist,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,inswing conrner kicks,outswing corner kicks,straight corner kicks,passes offside,passes blocked,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl + Int,Clr,Err,Poss_y,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Season,Team
2024-08-25,16:30,Premier League,Matchweek 2,Sun,Home,W,2.0,0.0,Brentford,2.5,0.5,62.0,60017.0,Virgil van Dijk,4-2-3-1,4-4-2,Stuart Attwell,Match Report,,2,19,8,13.6,1.0,0,0,2.5,2.5,2,2,1,0.8,5.0,12.0,34.0,2.0,31.5,5.0,33.0,6.0,0.0,0.0,7.5,571.0,638.0,9545.0,3284.0,2,2.5,1.6,17.0,49.0,18.0,2.0,59.0,596.0,41.0,8.0,3.0,3.0,15,18.0,9.0,6.0,2.0,0.0,1.0,4.0,26.0,2.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,10,9.0,3.0,5.0,13.0,19.0,68.4,6.0,14.0,3.0,11.0,7,24,12.0,0.0,62.0,741.0,61.0,182.0,344.0,222.0,40.0,741.0,16.0,8.0,5.0,514.0,2388.0,1188.0,25.0,18.0,13.0,22.0,5.0,566.0,58.0,2,0,0,10,7,1,15,7,10,0.0,0.0,0,47.0,6.0,8.0,2024-2025,Liverpool
2024-09-01,16:00,Premier League,Matchweek 3,Sun,Away,W,3.0,0.0,Manchester Utd,1.8,1.4,47.0,73738.0,Virgil van Dijk,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,3,11,3,13.4,0.0,0,0,1.8,1.8,3,3,1,0.6,1.0,4.0,35.0,3.0,20.0,5.0,15.4,14.0,1.0,5.0,17.7,414.0,497.0,6917.0,2308.0,3,1.4,1.1,9.0,21.0,8.0,3.0,30.0,458.0,37.0,7.0,1.0,3.0,6,22.0,2.0,1.0,0.0,0.0,2.0,5.0,16.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,17,13.0,8.0,3.0,13.0,21.0,61.9,8.0,13.0,0.0,13.0,10,34,28.0,0.0,47.0,615.0,77.0,210.0,273.0,139.0,26.0,615.0,20.0,5.0,14.0,282.0,1688.0,934.0,20.0,16.0,10.0,8.0,18.0,410.0,29.0,1,0,0,7,7,2,6,10,17,0.0,0.0,0,53.0,13.0,5.0,2024-2025,Liverpool
2024-09-14,15:00,Premier League,Matchweek 4,Sat,Home,L,0.0,1.0,Nott'ham Forest,0.9,0.4,68.0,60344.0,Virgil van Dijk,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,0,14,5,14.9,0.0,0,0,0.9,0.9,3,2,0,0.7,0.0,2.0,18.0,1.0,19.7,4.0,13.3,5.0,0.0,1.0,21.3,543.0,655.0,8838.0,3200.0,0,0.9,1.4,13.0,51.0,9.0,3.0,63.0,600.0,55.0,11.0,0.0,6.0,19,31.0,7.0,4.0,2.0,0.0,0.0,11.0,19.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,2.0,8.0,2.0,5.0,11.0,45.5,6.0,5.0,0.0,5.0,11,23,16.0,0.0,68.0,760.0,35.0,160.0,406.0,199.0,31.0,760.0,20.0,6.0,13.0,465.0,2433.0,1306.0,27.0,16.0,11.0,14.0,9.0,537.0,62.0,4,0,0,15,6,0,19,11,8,0.0,0.0,0,47.0,21.0,12.0,2024-2025,Liverpool
2024-09-21,15:00,Premier League,Matchweek 5,Sat,Home,W,3.0,0.0,Bournemouth,2.0,1.1,58.0,60347.0,Virgil van Dijk,4-2-3-1,4-2-3-1,Tony Harrington,Match Report,,3,19,12,16.6,0.0,0,0,2.0,2.0,6,6,1,1.5,3.0,6.0,44.0,8.0,21.2,7.0,18.9,17.0,1.0,0.0,10.0,546.0,619.0,8589.0,3369.0,3,1.9,1.0,18.0,40.0,12.0,1.0,39.0,574.0,45.0,15.0,1.0,2.0,8,19.0,3.0,2.0,1.0,0.0,0.0,9.0,30.0,1.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,14,10.0,9.0,1.0,12.0,23.0,52.2,11.0,10.0,4.0,6.0,6,26,24.0,1.0,58.0,737.0,94.0,276.0,315.0,151.0,28.0,737.0,21.0,16.0,5.0,526.0,2435.0,1191.0,30.0,16.0,11.0,13.0,15.0,542.0,39.0,1,0,0,10,11,0,8,6,14,0.0,0.0,0,44.0,9.0,6.0,2024-2025,Liverpool
2024-09-28,17:30,Premier League,Matchweek 6,Sat,Away,W,2.0,1.0,Wolves,2.5,0.6,55.0,31413.0,Virgil van Dijk,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,2,9,5,18.0,1.0,1,1,2.5,1.7,3,2,0,1.1,1.0,5.0,30.0,3.0,26.7,5.0,13.8,13.0,1.0,2.0,14.6,476.0,574.0,8170.0,2729.0,1,1.1,1.2,7.0,30.0,10.0,3.0,42.0,526.0,46.0,15.0,0.0,3.0,21,14.0,10.0,5.0,3.0,0.0,2.0,6.0,12.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,9,3.0,5.0,2.0,4.0,11.0,36.4,7.0,11.0,2.0,9.0,7,17,12.0,1.0,55.0,655.0,57.0,202.0,295.0,162.0,35.0,654.0,12.0,4.0,7.0,317.0,1753.0,887.0,20.0,16.0,10.0,9.0,7.0,470.0,42.0,3,0,0,8,15,2,21,7,9,1.0,0.0,0,45.0,10.0,10.0,2024-2025,Liverpool
2024-10-05,12:30,Premier League,Matchweek 7,Sat,Away,W,1.0,0.0,Crystal Palace,1.4,0.6,68.0,25185.0,Virgil van Dijk,4-2-3-1,3-4-3,Simon Hooper,Match Report,,1,16,4,18.9,0.0,0,0,1.4,1.4,5,5,1,1.0,6.0,15.0,44.0,11.0,28.7,7.0,33.7,8.0,0.0,1.0,13.1,584.0,691.0,10190.0,3431.0,1,1.4,1.5,16.0,46.0,8.0,0.0,54.0,645.0,46.0,8.0,3.0,6.0,16,22.0,8.0,7.0,0.0,0.0,0.0,12.0,28.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6,5.0,7.0,1.0,7.0,11.0,63.6,4.0,4.0,0.0,4.0,13,26,15.0,0.0,68.0,778.0,69.0,217.0,368.0,199.0,26.0,778.0,9.0,8.0,0.0,448.0,2420.0,1222.0,20.0,12.0,10.0,16.0,8.0,578.0,54.0,2,0,0,15,7,0,16,13,6,0.0,0.0,0,43.0,27.0,7.0,2024-2025,Liverpool
2024-10-20,16:30,Premier League,Matchweek 8,Sun,Home,W,2.0,1.0,Chelsea,1.9,1.0,43.0,60277.0,Virgil van Dijk,4-2-3-1,4-2-3-1,John Brooks,Match Report,,2,8,4,22.7,1.0,1,1,1.9,1.1,2,1,0,0.9,4.0,20.0,37.0,4.0,35.9,9.0,33.9,14.0,0.0,1.0,17.0,345.0,439.0,5920.0,2024.0,1,1.0,0.3,6.0,22.0,3.0,1.0,29.0,394.0,40.0,11.0,2.0,3.0,4,17.0,1.0,1.0,0.0,0.0,5.0,8.0,14.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,25.0,18,12.0,10.0,3.0,17.0,27.0,63.0,10.0,11.0,4.0,7.0,6,31,18.0,0.0,43.0,525.0,81.0,197.0,253.0,83.0,15.0,524.0,10.0,5.0,4.0,284.0,1218.0,555.0,10.0,6.0,4.0,9.0,8.0,339.0,28.0,4,0,0,12,13,5,4,6,18,1.0,0.0,0,40.0,6.0,10.0,2024-2025,Liverpool
2024-10-27,16:30,Premier League,Matchweek 9,Sun,Away,D,2.0,2.0,Arsenal,0.8,0.9,55.0,60383.0,Virgil van Dijk,4-2-3-1,4-4-2,Anthony Taylor,Match Report,,2,9,4,17.8,0.0,0,0,0.8,0.8,3,1,0,1.7,8.0,24.0,41.0,3.0,37.0,9.0,23.7,7.0,0.0,0.0,8.3,411.0,514.0,7165.0,2295.0,2,0.7,1.1,6.0,31.0,7.0,1.0,28.0,462.0,51.0,16.0,1.0,2.0,24,20.0,3.0,3.0,0.0,0.0,1.0,12.0,13.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,9,9.0,6.0,1.0,6.0,12.0,50.0,6.0,9.0,2.0,7.0,5,21,22.0,0.0,55.0,605.0,70.0,212.0,238.0,158.0,23.0,605.0,18.0,9.0,4.0,339.0,1313.0,637.0,9.0,7.0,4.0,12.0,13.0,407.0,27.0,2,0,0,14,14,1,24,5,9,0.0,0.0,0,31.0,11.0,18.0,2024-2025,Liverpool
2024-08-17,15:00,Premier League,Matchweek 1,Sat,Home,W,2.0,0.0,Wolves,1.2,0.5,53.0,60261.0,Martin Ødegaard,4-3-3,4-2-3-1,Jarred Gillett,Match Report,,2,18,6,17.3,0.0,0,0,1.2,1.2,3,3,1,0.2,5.0,12.0,32.0,5.0,29.4,6.0,55.5,11.0,1.0,0.0,9.0,382.0,458.0,6872.0,2400.0,2,1.2,0.9,17.0,24.0,17.0,2.0,53.0,410.0,48.0,15.0,0.0,4.0,15,18.0,8.0,6.0,0.0,0.0,0.0,7.0,29.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,18.0,13,9.0,6.0,3.0,8.0,16.0,50.0,8.0,6.0,1.0,5.0,8,26,16.0,2.0,53.0,569.0,63.0,190.0,229.0,156.0,42.0,569.0,22.0,9.0,10.0,340.0,1745.0,749.0,18.0,8.0,10.0,13.0,9.0,376.0,52.0,2,0,0,17,14,0,15,8,13,0.0,0.0,0,30.0,17.0,13.0,2024-2025,Arsenal
2024-08-24,17:30,Premier League,Matchweek 2,Sat,Away,W,2.0,0.0,Aston Villa,0.9,1.2,60.0,41587.0,Martin Ødegaard,4-3-3,4-4-2,Michael Oliver,Match Report,,2,9,4,18.8,0.0,0,0,0.9,0.9,3,3,1,1.0,3.0,7.0,26.0,4.0,25.3,6.0,26.2,6.0,0.0,1.0,9.7,483.0,544.0,7944.0,2177.0,1,0.7,1.4,7.0,35.0,11.0,0.0,49.0,512.0,31.0,11.0,5.0,3.0,13,12.0,1.0,1.0,0.0,0.0,1.0,4.0,17.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,9,5.0,8.0,4.0,7.0,18.0,38.9,11.0,10.0,4.0,6.0,8,25,16.0,1.0,60.0,635.0,46.0,159.0,309.0,171.0,32.0,635.0,17.0,6.0,9.0,401.0,2099.0,1174.0,20.0,13.0,7.0,9.0,13.0,474.0,48.0,3,0,0,16,8,1,13,8,9,0.0,0.0,0,33.0,7.0,9.0,2024-2025,Arsenal
